stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,updated_on
2MLD Ulsoor STP,2023-02-01 00:30:00,7.12,24.60,2.63,11.84,30.40,2.20,3.70,6.08,4.02,2023020100
CHIKKABANAVARA 5 MLD,2023-01-31 23:45:00,7.27,25.50,0.86,3.20,38.34,7.53,10.58,13.95,-,2023020100
KADUGODI 6 MLD STP,2023-02-01 00:00:00,7.75,23.20,1.10,3.65,143.70,38.71,19.75,56.49,6.04,2023020100
HORAMAVU 20 MLD,2023-01-31 23:45:00,7.49,25.10,0.57,2.50,-,-,46.70,-,2.85,2023020100
K AND C VALLEY 60 MLD,2023-01-31 23:45:00,7.63,24.90,1.67,4.00,21.92,4.61,6.98,6.46,4.17,2023020100
NAGASANDRA 20 MLD,2023-01-31 23:45:00,7.09,25.50,0.57,4.30,-,-,-,-,3.83,2023020100
RAJACANAL 40 MLD,2023-01-31 23:45:00,7.08,25.00,1.06,3.50,30.96,3.49,8.80,7.84,4.60,2023020100
YELLAMALAPACHETTY 15 MLD,2023-01-31 23:45:00,6.90,23.70,0.34,0.80,33.66,4.60,6.56,5.12,-,2023020100
BELLANDUR 90 MLD,2023-01-20 11:00:00,8.24,23.90,0.51,0.60,26.36,4.47,6.14,7.99,-,2023020100
DODDABELE 20 MLD,2022-12-09 11:45:00,7.29,24.40,0.17,2.40,40.24,7.73,10.41,12.16,4.37,2023020100
MALLATHALLI 5 MLD,2023-01-31 23:45:00,7.78,25.90,2.47,4.70,22.29,4.09,4.88,11.84,4.95,2023020100
NAGASANDRA OLD 20 MLD,2023-01-31 23:45:00,7.24,22.80,0.02,0.03,-,-,-,-,10.07,2023020100
4MLD Cubbon Park TTP,2023-01-31 23:45:00,6.99,26.60,0.75,4.71,17.36,1.21,0.93,5.03,3.00,2023020100
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.00,-,-,-,0.00,0.00,0.00,-,-,2023020100
Challagatta Valley 218 MLD,2022-07-21 19:26:37,0.00,-,-,-,0.00,0.00,0.00,-,-,2023020100
KADABEESANAHALLI 50 MLD,2023-01-31 23:45:00,7.69,21.80,3.10,5.05,153.77,4.85,68.66,5.90,5.38,2023020100
STP Sarakki 5 MLD,2023-01-31 23:45:00,3.06,25.60,0.92,3.21,18.53,4.54,5.40,3.71,-,2023020100
Kempambudhi STP 1 MLD,2023-01-31 09:15:00,7.10,22.70,0.24,0.74,102.83,1.85,23.71,5.86,5.34,2023020100
Mailasandra STP 75 MLD,2023-01-31 23:45:00,7.51,20.90,1.33,0.27,47.38,8.58,14.21,11.80,0.34,2023020100
60 MLD V.Valley TTP,2023-01-31 23:45:00,6.82,18.00,0.24,0.58,20.55,1.61,3.91,4.75,2.83,2023020100
KR Puram STP 20 MLD,2023-01-31 23:45:00,7.01,22.40,2.53,5.06,59.44,8.32,65.54,3.72,0.72,2023020100
1.5 MLD Lalbagh TTP,2023-01-20 11:44:30,6.37,33.80,0.46,2.30,18.74,1.66,1.28,2.02,2.88,2023020100
35MLD Agaram STP,2023-01-31 23:45:00,7.63,25.90,0.30,1.23,20.60,3.80,4.70,3.42,-,2023020100
Chikka_Bagur_5_MLD_STP,2023-01-30 08:09:00,-,-,-,-,46.90,-,-,-,-,2023020100
Yelahanka 10MLD TTP,2023-02-01 00:15:00,6.90,23.10,0.20,0.04,19.30,4.10,7.40,1.54,0.89,2023020100
40MLD OLD Rajacanal STP,2023-02-01 00:15:00,7.59,23.50,0.51,3.64,47.00,9.20,6.20,3.09,1.41,2023020100
Hennur 1MLD TTP,2023-01-26 22:00:00,7.13,24.30,0.68,-,420.80,15.90,1444.60,25.04,25.09,2023020100
2MLD Ulsoor STP,2023-02-01 01:30:00,7.12,24.50,2.67,12.02,30.50,2.20,3.70,6.10,3.92,2023020101
CHIKKABANAVARA 5 MLD,2023-01-31 09:45:00,7.30,25.30,0.85,3.20,39.02,7.47,11.30,13.51,-,2023020101
KADUGODI 6 MLD STP,2023-02-01 01:00:00,7.70,23.30,1.00,3.91,144.81,41.88,20.02,58.41,5.60,2023020101
HORAMAVU 20 MLD,2023-02-01 01:00:00,7.45,25.30,0.57,2.50,-,-,42.00,14.12,2.85,2023020101
K AND C VALLEY 60 MLD,2023-02-01 00:45:00,7.62,24.90,1.66,4.00,22.00,4.63,7.01,6.56,4.15,2023020101
NAGASANDRA 20 MLD,2023-02-01 00:45:00,7.07,25.80,0.58,4.30,-,-,-,-,3.86,2023020101
