stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,updated_on
2MLD Ulsoor STP,2023-08-01 00:14:30,7.15,25.90,2.20,9.90,32.30,2.50,3.4,6.46,1.20,2023080100
CHIKKABANAVARA 5 MLD,2023-07-31 23:30:00,7.46,23.90,0.30,3.50,32.49,5.08,5.06,12.05,2.40,2023080100
KADUGODI 6 MLD STP,2023-07-31 23:30:00,7.78,20.50,0.70,2.56,41.02,10.61,10.1,29.09,5.23,2023080100
HORAMAVU 20 MLD,2023-07-07 13:00:00,7.64,24.60,0.67,2.70,-,-,42.58,-,2.68,2023080100
K AND C VALLEY 60 MLD,2023-07-31 23:45:00,6.65,26.70,0.56,4.20,30.70,6.39,14.11,7.74,4.65,2023080100
NAGASANDRA 20 MLD,2023-07-31 23:45:00,7.75,24.20,0.58,3.40,127.99,29.20,13.96,19.34,3.64,2023080100
RAJACANAL 40 MLD,2023-08-01 00:00:00,7.54,26.30,1.03,2.70,33.08,3.87,9.31,8.66,4.94,2023080100
YELLAMALAPACHETTY 15 MLD,2023-07-31 18:00:00,7.24,26.81,0.80,3.22,27.35,6.05,5.18,6.02,3.02,2023080100
BELLANDUR 90 MLD,2023-08-01 00:00:00,7.12,25.90,0.47,3.40,26.04,7.42,8.09,5.21,4.47,2023080100
DODDABELE 20 MLD,2023-07-31 23:45:00,7.74,26.40,0.72,1.90,34.38,5.61,4.74,9.58,4.64,2023080100
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023080100
NAGASANDRA OLD 20 MLD,2023-07-31 23:30:00,6.76,25.90,9.01,13.52,509.05,0.00,396.02,0.00,2.64,2023080100
4MLD Cubbon Park TTP,2023-07-31 23:45:00,7.09,27.90,5.05,4.75,17.41,1.25,0.94,5.05,20.20,2023080100
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.0,-,-,2023080100
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.00,0.0,-,-,2023080100
KADABEESANAHALLI 50 MLD,2023-07-28 17:00:00,5.98,24.30,0.60,-,-,-,59.58,3.90,-,2023080100
