stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,updated_on
2MLD Ulsoor STP,2023-03-31 23:45:00,7.01,28.30,0.71,3.19,30.60,2.10,3.80,6.12,1.51,2023040100
CHIKKABANAVARA 5 MLD,2023-02-28 23:00:00,7.29,26.20,0.74,3.60,39.03,7.46,10.76,16.16,-,2023040100
KADUGODI 6 MLD STP,2023-03-31 23:45:00,7.53,27.10,0.60,3.16,290.70,20.57,761.45,26.96,1.13,2023040100
HORAMAVU 20 MLD,2023-03-31 23:45:00,7.51,28.80,0.93,3.70,27.71,6.80,6.98,7.78,4.65,2023040100
K AND C VALLEY 60 MLD,2023-03-31 23:45:00,7.63,29.00,1.70,4.10,27.65,6.63,7.84,10.19,4.25,2023040100
NAGASANDRA 20 MLD,2023-03-31 23:45:00,6.86,28.40,0.93,3.60,-,-,-,-,4.27,2023040100
RAJACANAL 40 MLD,2023-03-29 03:30:00,7.66,28.00,0.93,3.00,29.05,3.88,4.18,8.21,4.46,2023040100
YELLAMALAPACHETTY 15 MLD,2023-03-31 23:45:00,6.98,27.60,0.89,1.60,37.07,3.13,27.22,3.42,7.12,2023040100
BELLANDUR 90 MLD,2023-03-06 15:15:00,8.13,25.40,0.82,0.50,28.04,3.12,10.36,9.98,-,2023040100
DODDABELE 20 MLD,2023-03-31 23:45:00,7.13,28.40,0.27,2.70,43.51,9.44,14.00,11.91,4.28,2023040100
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023040100
NAGASANDRA OLD 20 MLD,2023-03-31 23:45:00,7.04,26.90,1.38,2.07,51.62,7.46,21.43,10.93,3.05,2023040100
4MLD Cubbon Park TTP,2023-03-31 23:45:00,6.9,30.10,1.02,4.72,17.36,1.22,0.93,5.04,4.08,2023040100
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.00,-,-,2023040100
Challagatta Valley 218 MLD,2022-07-21 19:26:37,0.0,-,-,-,0.00,0.00,0.00,-,-,2023040100
KADABEESANAHALLI 50 MLD,2023-03-31 23:45:00,7.4,26.20,-,-,-,-,-,-,5.18,2023040100
STP Sarakki 5 MLD,2023-03-31 23:45:00,7.73,29.00,1.62,3.24,18.89,5.10,5.97,3.78,-,2023040100
Kempambudhi STP 1 MLD,2023-03-31 23:45:00,7.1,26.50,0.68,2.10,22.64,4.52,5.30,5.13,3.24,2023040100
Mailasandra STP 75 MLD,2023-04-01 00:00:00,7.65,25.00,0.50,1.34,41.00,7.15,14.65,14.18,1.68,2023040100
60 MLD V.Valley TTP,2023-03-31 23:45:00,5.31,28.00,0.32,0.77,20.96,2.80,3.67,5.97,0.52,2023040100
KR Puram STP 20 MLD,2023-03-31 23:45:00,7.31,26.20,1.03,2.06,50.18,7.03,28.47,8.87,1.58,2023040100
1.5 MLD Lalbagh TTP,2023-04-01 00:00:00,6.45,27.60,0.64,3.25,-,3.42,3.58,4.86,7.57,2023040100
35MLD Agaram STP,2023-03-31 23:45:00,7.59,29.40,0.82,3.36,24.90,8.60,3.40,7.74,-,2023040100
Chikka_Bagur_5_MLD_STP,2023-04-01 00:04:00,7.84,-,-,-,43.00,6.10,7.60,12.20,-,2023040100
Yelahanka 10MLD TTP,2023-03-24 17:09:00,6.52,23.20,0.26,1.04,18.10,4.00,5.40,3.62,4.75,2023040100
40MLD OLD Rajacanal STP,2023-03-31 23:45:00,7.37,26.50,1.10,3.63,125.90,8.00,7.00,31.48,4.51,2023040100
Hennur 1MLD TTP,2023-03-31 23:45:00,7.31,27.80,0.04,0.16,19.90,8.30,4.60,4.99,4.29,2023040100
2MLD Ulsoor STP,2023-04-01 01:00:00,7.01,28.20,0.71,3.19,30.60,2.10,3.80,6.12,1.01,2023040101
CHIKKABANAVARA 5 MLD,2023-02-28 23:00:00,7.29,26.20,0.74,3.60,39.03,7.46,10.76,16.16,-,2023040101
KADUGODI 6 MLD STP,2023-04-01 00:45:00,7.35,27.20,0.60,3.35,286.57,19.08,757.16,24.00,3.43,2023040101
HORAMAVU 20 MLD,2023-04-01 00:45:00,7.47,29.00,0.94,3.60,27.68,6.79,6.93,7.83,4.70,2023040101
K AND C VALLEY 60 MLD,2023-04-01 00:45:00,7.63,29.00,1.71,4.00,27.73,6.58,7.89,9.92,4.28,2023040101
NAGASANDRA 20 MLD,2023-04-01 00:45:00,6.85,28.20,0.98,3.50,-,-,-,-,4.24,2023040101
RAJACANAL 40 MLD,2023-03-29 03:30:00,7.66,28.00,0.93,3.00,29.05,3.88,4.18,8.21,4.46,2023040101
YELLAMALAPACHETTY 15 MLD,2023-04-01 00:45:00,6.94,27.60,0.91,1.50,36.70,3.12,27.01,3.33,7.28,2023040101
BELLANDUR 90 MLD,2023-03-06 15:15:00,8.13,25.40,0.82,0.50,28.04,3.12,10.36,9.98,-,2023040101
DODDABELE 20 MLD,2023-04-01 00:45:00,7.09,28.30,0.27,2.70,44.78,9.44,18.80,11.75,4.25,2023040101
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023040101
NAGASANDRA OLD 20 MLD,2023-04-01 00:45:00,7.03,26.90,1.38,2.07,51.84,7.61,22.51,10.93,6.48,2023040101
4MLD Cubbon Park TTP,2023-04-01 00:45:00,6.91,30.10,1.01,4.72,17.37,1.22,0.93,5.04,4.04,2023040101
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.00,-,-,2023040101
Challagatta Valley 218 MLD,2022-07-21 19:26:37,0.0,-,-,-,0.00,0.00,0.00,-,-,2023040101
KADABEESANAHALLI 50 MLD,2023-04-01 00:45:00,7.44,26.10,-,-,-,-,-,-,5.21,2023040101
STP Sarakki 5 MLD,2023-04-01 00:45:00,7.68,29.10,1.59,3.18,18.93,5.15,5.99,3.79,-,2023040101
Kempambudhi STP 1 MLD,2023-04-01 00:45:00,7.11,26.50,0.69,2.14,22.20,4.59,5.23,5.49,3.17,2023040101
