stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,updated_on
2MLD Ulsoor STP,2023-09-01 00:30:00,7.07,28.10,0.25,1.12,29.40,2.10,3.7,5.88,0.81,2023090100
CHIKKABANAVARA 5 MLD,2023-09-01 00:15:00,7.54,25.80,0.40,3.30,27.95,4.61,4.47,11.45,3.20,2023090100
KADUGODI 6 MLD STP,2023-09-01 00:30:00,7.69,29.90,0.50,3.92,41.23,10.55,10.51,31.55,2.50,2023090100
HORAMAVU 20 MLD,2023-09-01 00:15:00,7.69,29.30,0.90,2.40,44.62,9.04,11.25,6.85,3.60,2023090100
K AND C VALLEY 60 MLD,2023-09-01 00:15:00,6.80,28.70,0.51,4.20,37.04,7.12,20.04,7.37,4.23,2023090100
NAGASANDRA 20 MLD,2023-09-01 00:15:00,7.72,26.20,1.14,1.70,76.24,9.19,115.35,6.60,3.94,2023090100
RAJACANAL 40 MLD,2023-09-01 00:30:00,7.61,28.40,1.29,2.40,31.53,3.88,8.29,8.51,6.19,2023090100
YELLAMALAPACHETTY 15 MLD,2023-09-01 00:15:00,7.74,28.68,0.57,2.29,43.77,4.56,5.05,5.78,3.74,2023090100
BELLANDUR 90 MLD,2023-09-01 00:30:00,7.56,27.90,0.63,5.20,-,-,30.35,-,4.41,2023090100
DODDABELE 20 MLD,2023-09-01 00:00:00,7.52,28.50,0.90,1.10,36.80,6.19,6.46,9.69,4.51,2023090100
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023090100
NAGASANDRA OLD 20 MLD,2023-09-01 00:15:00,7.44,26.90,2.55,3.82,73.57,9.55,32.83,6.56,7.08,2023090100
4MLD Cubbon Park TTP,2023-08-30 10:15:00,6.94,29.60,0.59,4.74,17.34,1.24,0.93,5.03,2.36,2023090100
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.00,-,-,-,0.00,0.00,0.0,-,-,2023090100
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.00,-,-,-,0.00,0.00,0.0,-,-,2023090100
KADABEESANAHALLI 50 MLD,2023-08-18 12:00:00,8.29,25.40,0.60,2.54,84.94,8.47,30.45,8.34,3.39,2023090100
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.3,4.00,-,2023090100
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023090100
Mailasandra STP 75 MLD,2023-09-01 00:15:00,7.36,18.40,4.09,0.53,46.82,9.67,18.52,12.06,0.59,2023090100
60 MLD V.Valley TTP,2023-09-01 00:00:00,6.73,27.70,1.20,2.88,-,-,5.4,-,-0.01,2023090100
KR Puram STP 20 MLD,2023-09-01 00:30:00,7.18,27.00,5.16,10.32,130.52,11.10,30.46,18.27,2.27,2023090100
1.5 MLD Lalbagh TTP,2023-09-01 00:30:00,6.93,23.80,0.47,2.35,18.26,1.52,1.28,11.62,7.68,2023090100
35MLD Agaram STP,2023-09-01 00:30:00,7.15,27.30,2.84,11.64,29.32,5.01,15.62,6.43,-,2023090100
Chikka_Bagur_5_MLD_STP,2023-08-31 16:03:00,-,29.30,-,-,49.30,-,15.8,12.80,-,2023090100
Yelahanka 10MLD TTP,2023-09-01 00:45:00,7.08,26.20,2.04,12.63,45.20,16.30,17.6,9.03,1.38,2023090100
40MLD OLD Rajacanal STP,2023-09-01 00:45:00,7.57,27.00,7.38,24.35,28.60,8.80,9.7,7.15,36.16,2023090100
Hennur 1MLD TTP,2023-05-08 11:45:00,7.56,29.20,3.21,4.82,19.00,1.80,4.9,4.95,5.27,2023090100
4_MLD_Madiwala_STP,2023-08-26 16:45:00,6.84,29.00,0.32,0.93,34.46,1.94,3.5,8.61,-,2023090100
2MLD Ulsoor STP,2023-09-01 01:30:00,7.05,27.90,0.26,1.17,29.40,2.10,3.7,5.88,1.22,2023090101
CHIKKABANAVARA 5 MLD,2023-09-01 01:15:00,7.55,25.70,0.40,3.30,27.81,4.59,4.44,11.34,3.20,2023090101
KADUGODI 6 MLD STP,2023-09-01 01:15:00,7.68,30.00,0.50,3.92,41.41,10.59,10.9,32.88,2.50,2023090101
HORAMAVU 20 MLD,2023-09-01 01:30:00,7.70,29.30,0.90,2.30,44.50,9.06,11.16,6.99,3.60,2023090101
K AND C VALLEY 60 MLD,2023-09-01 01:15:00,6.80,28.70,0.51,4.20,36.75,7.12,19.82,7.24,4.23,2023090101
NAGASANDRA 20 MLD,2023-09-01 01:15:00,7.71,26.50,1.16,1.70,84.81,3.58,168.98,3.82,3.99,2023090101
RAJACANAL 40 MLD,2023-09-01 01:30:00,7.61,28.40,1.30,2.30,31.10,3.86,7.62,8.49,6.24,2023090101
YELLAMALAPACHETTY 15 MLD,2023-09-01 01:15:00,7.72,28.58,0.57,2.29,39.44,4.51,4.97,5.76,3.55,2023090101
BELLANDUR 90 MLD,2023-09-01 01:30:00,7.55,28.00,0.64,5.10,-,-,35.82,-,4.48,2023090101
DODDABELE 20 MLD,2023-09-01 01:15:00,7.51,28.40,0.90,1.10,36.80,6.18,6.47,9.72,4.51,2023090101
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023090101
NAGASANDRA OLD 20 MLD,2023-09-01 01:15:00,7.48,26.40,2.55,3.82,69.27,8.96,29.21,5.75,7.56,2023090101
