stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,updated_on,total_phosphorus
2MLD Ulsoor STP,2023-10-01 00:15:00,7.15,26.50,0.04,0.18,28.50,2.1,3.4,5.70,1.59,2023100100,
CHIKKABANAVARA 5 MLD,2023-09-30 23:30:00,7.43,24.40,0.43,2.80,27.19,4.42,4.42,10.96,3.44,2023100100,
KADUGODI 6 MLD STP,2023-09-30 23:45:00,7.63,27.60,0.30,3.69,44.32,11.38,10.76,38.07,1.50,2023100100,
HORAMAVU 20 MLD,2023-09-27 19:15:00,7.51,28.40,0.88,3.50,49.64,7.38,16.96,4.32,3.52,2023100100,
K AND C VALLEY 60 MLD,2023-09-30 23:45:00,6.74,27.10,0.50,4.30,35.26,8.46,15.42,8.67,4.15,2023100100,
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100100,
RAJACANAL 40 MLD,2023-09-30 23:45:00,7.64,26.30,1.11,2.50,34.20,4.08,11.0,8.71,5.33,2023100100,
YELLAMALAPACHETTY 15 MLD,2023-09-30 23:45:00,7.23,26.78,0.54,2.14,28.07,2.52,7.28,5.52,1.08,2023100100,
BELLANDUR 90 MLD,2023-10-01 00:00:00,7.9,26.30,0.52,1.00,27.11,4.97,7.27,5.42,2.91,2023100100,
DODDABELE 20 MLD,2023-09-30 23:45:00,8.12,26.40,0.42,1.10,42.24,6.61,14.91,9.90,4.87,2023100100,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100100,
NAGASANDRA OLD 20 MLD,2023-09-30 23:45:00,7.79,26.20,1.97,2.95,454.02,0.0,434.36,0.00,1.11,2023100100,
4MLD Cubbon Park TTP,2023-10-01 00:00:00,7.14,28.00,0.51,4.74,17.33,1.24,0.92,5.03,2.04,2023100100,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100100,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100100,
KADABEESANAHALLI 50 MLD,2023-09-30 08:45:00,6.0,24.20,0.60,2.51,44.37,8.37,8.34,7.15,3.35,2023100100,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.3,4.00,-,2023100100,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100100,
Mailasandra STP 75 MLD,2023-09-30 23:45:00,7.28,17.50,6.49,7.14,50.20,14.94,19.22,15.91,1.55,2023100100,
60 MLD V.Valley TTP,2023-09-30 23:45:00,6.92,26.20,1.33,3.19,20.05,1.03,3.22,4.83,4.28,2023100100,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100100,
1.5 MLD Lalbagh TTP,2023-10-01 00:00:00,7.13,24.50,0.27,1.35,17.74,1.31,0.93,0.51,0.30,2023100100,
35MLD Agaram STP,2023-10-01 00:00:00,7.16,25.60,1.06,4.35,29.36,5.01,5.83,6.44,-,2023100100,
Chikka_Bagur_5_MLD_STP,2023-09-28 09:50:00,8.2,26.80,-,-,43.60,6.7,8.0,13.40,-,2023100100,
Yelahanka 10MLD TTP,2023-09-30 23:45:00,7.05,25.20,0.96,5.73,51.90,11.0,5.1,10.38,1.39,2023100100,
40MLD OLD Rajacanal STP,2023-09-29 09:15:00,7.47,25.00,0.16,0.53,25.80,10.4,15.3,6.45,0.78,2023100100,
Hennur 1MLD TTP,2023-09-30 20:30:00,7.74,27.20,0.00,0.00,19.00,1.8,4.9,4.95,7.49,2023100100,
4_MLD_Madiwala_STP,2023-09-30 23:45:00,7.64,26.00,1.23,3.57,34.52,2.28,3.56,8.63,-,2023100100,
150MLD STP_K&C valley,2023-09-30 23:40:00,7.69,-,2.68,6.34,-,9.17,11.06,-,-,2023100100,
2MLD Ulsoor STP,2023-10-01 01:15:00,7.16,26.40,0.04,0.18,29.10,2.1,3.6,5.82,1.59,2023100101,
CHIKKABANAVARA 5 MLD,2023-10-01 00:45:00,7.37,24.20,0.42,2.80,27.22,4.42,4.43,11.01,3.36,2023100101,
KADUGODI 6 MLD STP,2023-10-01 00:45:00,7.56,27.70,0.30,3.68,44.25,11.39,10.65,38.95,1.50,2023100101,
HORAMAVU 20 MLD,2023-09-27 19:15:00,7.51,28.40,0.88,3.50,49.64,7.38,16.96,4.32,3.52,2023100101,
K AND C VALLEY 60 MLD,2023-10-01 00:45:00,6.75,27.00,0.51,4.40,36.23,8.37,16.36,8.24,4.23,2023100101,
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100101,
RAJACANAL 40 MLD,2023-10-01 00:45:00,7.64,26.20,1.11,2.50,34.37,4.08,11.19,8.72,5.33,2023100101,
YELLAMALAPACHETTY 15 MLD,2023-10-01 00:45:00,7.21,26.71,0.53,2.14,27.59,2.44,7.35,5.50,1.10,2023100101,
BELLANDUR 90 MLD,2023-10-01 01:00:00,7.9,26.30,0.51,1.00,27.13,4.95,7.38,5.43,2.86,2023100101,
DODDABELE 20 MLD,2023-10-01 00:45:00,8.12,26.30,0.42,1.10,43.29,6.63,17.03,9.88,4.87,2023100101,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100101,
NAGASANDRA OLD 20 MLD,2023-10-01 00:45:00,7.77,26.10,1.91,2.87,435.61,3.43,393.23,0.00,1.11,2023100101,
4MLD Cubbon Park TTP,2023-10-01 01:00:00,7.15,28.00,0.51,4.73,17.32,1.23,0.91,5.02,2.04,2023100101,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100101,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100101,
KADABEESANAHALLI 50 MLD,2023-09-30 08:45:00,6.0,24.20,0.60,2.51,44.37,8.37,8.34,7.15,3.35,2023100101,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.3,4.00,-,2023100101,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100101,
Mailasandra STP 75 MLD,2023-10-01 00:45:00,7.27,17.50,6.62,7.28,50.18,15.04,19.32,16.07,1.54,2023100101,
60 MLD V.Valley TTP,2023-10-01 00:45:00,6.92,26.10,1.33,3.19,20.04,1.01,3.22,4.83,4.08,2023100101,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100101,
1.5 MLD Lalbagh TTP,2023-10-01 00:45:00,7.12,24.40,0.27,1.35,17.74,1.32,0.94,0.50,0.46,2023100101,
35MLD Agaram STP,2023-10-01 01:00:00,7.23,25.50,1.11,4.55,29.64,5.06,6.11,6.51,-,2023100101,
Chikka_Bagur_5_MLD_STP,2023-09-28 09:50:00,8.2,26.80,-,-,43.60,6.7,8.0,13.40,-,2023100101,
Yelahanka 10MLD TTP,2023-09-30 23:45:00,7.05,25.20,0.96,5.73,51.90,11.0,5.1,10.38,1.39,2023100101,
40MLD OLD Rajacanal STP,2023-09-29 09:15:00,7.47,25.00,0.16,0.53,25.80,10.4,15.3,6.45,0.78,2023100101,
Hennur 1MLD TTP,2023-09-30 20:30:00,7.74,27.20,0.00,0.00,19.00,1.8,4.9,4.95,7.49,2023100101,
4_MLD_Madiwala_STP,2023-10-01 01:00:00,7.64,26.00,1.24,3.60,34.50,2.27,3.52,8.62,-,2023100101,
150MLD STP_K&C valley,2023-09-30 23:40:00,7.69,-,2.68,6.34,-,9.17,11.06,-,-,2023100101,
2MLD Ulsoor STP,2023-10-01 02:15:00,7.16,26.30,0.04,0.18,30.00,2.0,4.0,6.00,1.38,2023100102,
CHIKKABANAVARA 5 MLD,2023-10-01 01:45:00,7.41,24.20,0.43,2.80,27.19,4.43,4.42,11.12,3.44,2023100102,
KADUGODI 6 MLD STP,2023-10-01 01:45:00,7.63,27.60,0.30,3.70,44.23,11.39,10.56,38.48,1.50,2023100102,
HORAMAVU 20 MLD,2023-09-27 19:15:00,7.51,28.40,0.88,3.50,49.64,7.38,16.96,4.32,3.52,2023100102,
K AND C VALLEY 60 MLD,2023-10-01 01:45:00,6.76,27.00,0.51,4.40,36.84,8.45,16.81,8.50,4.23,2023100102,
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100102,
RAJACANAL 40 MLD,2023-10-01 01:45:00,7.64,26.20,1.12,2.50,34.46,4.08,11.24,8.75,5.38,2023100102,
YELLAMALAPACHETTY 15 MLD,2023-10-01 01:45:00,7.18,26.60,0.53,2.13,29.03,2.49,7.32,5.52,1.11,2023100102,
BELLANDUR 90 MLD,2023-10-01 02:00:00,7.9,26.30,0.51,1.00,27.15,4.92,7.58,5.43,2.86,2023100102,
DODDABELE 20 MLD,2023-10-01 01:45:00,8.12,26.30,0.42,1.10,43.78,6.54,18.04,9.79,4.87,2023100102,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100102,
NAGASANDRA OLD 20 MLD,2023-10-01 01:45:00,7.77,26.00,1.84,2.76,401.52,0.0,352.89,0.00,1.11,2023100102,
4MLD Cubbon Park TTP,2023-10-01 02:00:00,7.16,27.90,0.51,4.73,17.32,1.23,0.92,5.02,2.04,2023100102,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100102,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100102,
KADABEESANAHALLI 50 MLD,2023-09-30 08:45:00,6.0,24.20,0.60,2.51,44.37,8.37,8.34,7.15,3.35,2023100102,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.3,4.00,-,2023100102,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100102,
Mailasandra STP 75 MLD,2023-10-01 01:45:00,7.27,17.50,6.80,7.48,50.15,15.0,19.28,16.07,1.54,2023100102,
60 MLD V.Valley TTP,2023-10-01 01:30:00,6.92,26.10,1.31,3.14,20.05,1.01,3.22,4.84,4.25,2023100102,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100102,
1.5 MLD Lalbagh TTP,2023-10-01 01:45:00,7.12,24.40,0.26,1.30,17.75,1.32,0.94,0.49,0.34,2023100102,
35MLD Agaram STP,2023-10-01 02:00:00,7.14,25.60,1.08,4.43,29.27,5.0,5.94,6.43,-,2023100102,
Chikka_Bagur_5_MLD_STP,2023-09-28 09:50:00,8.2,26.80,-,-,43.60,6.7,8.0,13.40,-,2023100102,
Yelahanka 10MLD TTP,2023-09-30 23:45:00,7.05,25.20,0.96,5.73,51.90,11.0,5.1,10.38,1.39,2023100102,
40MLD OLD Rajacanal STP,2023-09-29 09:15:00,7.47,25.00,0.16,0.53,25.80,10.4,15.3,6.45,0.78,2023100102,
Hennur 1MLD TTP,2023-09-30 20:30:00,7.74,27.20,0.00,0.00,19.00,1.8,4.9,4.95,7.49,2023100102,
4_MLD_Madiwala_STP,2023-10-01 02:00:00,7.64,25.90,1.25,3.62,34.50,2.32,3.51,8.62,-,2023100102,
150MLD STP_K&C valley,2023-09-30 23:40:00,7.69,-,2.68,6.34,-,9.17,11.06,-,-,2023100102,
2MLD Ulsoor STP,2023-10-01 03:15:00,7.16,26.20,0.04,0.18,29.10,2.1,3.6,5.82,1.36,2023100103,
CHIKKABANAVARA 5 MLD,2023-10-01 02:45:00,7.41,24.30,0.44,2.80,27.11,4.42,4.41,11.07,3.52,2023100103,
KADUGODI 6 MLD STP,2023-10-01 02:45:00,7.64,27.70,0.30,3.69,44.35,11.39,10.87,38.18,1.50,2023100103,
HORAMAVU 20 MLD,2023-09-27 19:15:00,7.51,28.40,0.88,3.50,49.64,7.38,16.96,4.32,3.52,2023100103,
K AND C VALLEY 60 MLD,2023-10-01 02:45:00,6.76,26.90,0.51,4.40,36.84,8.35,16.97,8.20,4.23,2023100103,
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100103,
RAJACANAL 40 MLD,2023-10-01 02:45:00,7.64,26.10,1.11,2.50,34.49,4.08,11.21,8.76,5.33,2023100103,
YELLAMALAPACHETTY 15 MLD,2023-10-01 02:45:00,7.17,26.57,0.53,2.13,29.73,2.47,7.35,5.51,1.08,2023100103,
BELLANDUR 90 MLD,2023-10-01 02:45:00,7.9,26.30,0.51,1.00,27.13,4.95,7.51,5.43,2.86,2023100103,
DODDABELE 20 MLD,2023-10-01 02:45:00,8.06,26.30,0.41,1.10,40.63,6.78,11.13,10.02,4.84,2023100103,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100103,
NAGASANDRA OLD 20 MLD,2023-10-01 02:45:00,7.76,26.00,1.74,2.61,501.13,0.0,434.61,0.00,1.12,2023100103,
4MLD Cubbon Park TTP,2023-10-01 03:00:00,7.17,27.90,0.51,4.73,17.32,1.23,0.92,5.02,2.04,2023100103,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100103,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100103,
KADABEESANAHALLI 50 MLD,2023-09-30 08:45:00,6.0,24.20,0.60,2.51,44.37,8.37,8.34,7.15,3.35,2023100103,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.3,4.00,-,2023100103,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100103,
Mailasandra STP 75 MLD,2023-10-01 02:45:00,7.27,17.50,6.85,7.53,50.12,14.92,19.25,15.51,1.55,2023100103,
60 MLD V.Valley TTP,2023-10-01 02:30:00,6.91,26.00,1.33,3.19,20.05,0.99,3.22,4.86,4.24,2023100103,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100103,
1.5 MLD Lalbagh TTP,2023-10-01 03:00:00,7.12,24.40,0.26,1.30,17.76,1.32,0.95,0.50,0.36,2023100103,
35MLD Agaram STP,2023-10-01 03:00:00,7.03,25.40,1.08,4.43,28.82,4.92,5.94,6.33,-,2023100103,
Chikka_Bagur_5_MLD_STP,2023-09-28 09:50:00,8.2,26.80,-,-,43.60,6.7,8.0,13.40,-,2023100103,
Yelahanka 10MLD TTP,2023-09-30 23:45:00,7.05,25.20,0.96,5.73,51.90,11.0,5.1,10.38,1.39,2023100103,
40MLD OLD Rajacanal STP,2023-09-29 09:15:00,7.47,25.00,0.16,0.53,25.80,10.4,15.3,6.45,0.78,2023100103,
Hennur 1MLD TTP,2023-09-30 20:30:00,7.74,27.20,0.00,0.00,19.00,1.8,4.9,4.95,7.49,2023100103,
4_MLD_Madiwala_STP,2023-10-01 03:00:00,7.63,25.80,1.25,3.62,34.50,2.35,3.51,8.62,-,2023100103,
150MLD STP_K&C valley,2023-09-30 23:40:00,7.69,-,2.68,6.34,-,9.17,11.06,-,-,2023100103,
2MLD Ulsoor STP,2023-10-01 04:15:00,7.16,26.00,0.04,0.18,29.40,2.1,3.7,5.88,0.43,2023100104,
CHIKKABANAVARA 5 MLD,2023-10-01 03:45:00,7.35,24.10,0.43,2.80,27.17,4.43,4.42,11.14,3.44,2023100104,
KADUGODI 6 MLD STP,2023-10-01 03:45:00,7.56,27.70,0.30,3.69,44.29,11.39,10.71,38.41,1.50,2023100104,
HORAMAVU 20 MLD,2023-09-27 19:15:00,7.51,28.40,0.88,3.50,49.64,7.38,16.96,4.32,3.52,2023100104,
K AND C VALLEY 60 MLD,2023-10-01 03:45:00,6.76,26.90,0.50,4.40,38.30,8.32,19.06,8.36,4.15,2023100104,
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100104,
RAJACANAL 40 MLD,2023-10-01 03:45:00,7.64,26.10,1.11,2.50,35.06,3.96,12.84,8.55,5.33,2023100104,
YELLAMALAPACHETTY 15 MLD,2023-10-01 03:45:00,7.15,26.49,0.53,2.12,31.52,2.42,7.47,5.53,1.09,2023100104,
BELLANDUR 90 MLD,2023-10-01 04:00:00,7.9,26.20,0.51,1.00,27.10,4.95,7.26,5.42,2.86,2023100104,
DODDABELE 20 MLD,2023-10-01 03:45:00,8.1,26.30,0.41,1.10,40.97,6.74,11.61,9.95,4.86,2023100104,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100104,
NAGASANDRA OLD 20 MLD,2023-10-01 03:45:00,7.75,26.00,1.67,2.50,442.55,0.0,393.91,0.00,1.12,2023100104,
4MLD Cubbon Park TTP,2023-10-01 04:00:00,7.21,27.80,0.51,4.73,17.32,1.23,0.91,5.02,2.04,2023100104,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100104,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100104,
KADABEESANAHALLI 50 MLD,2023-09-30 08:45:00,6.0,24.20,0.60,2.51,44.37,8.37,8.34,7.15,3.35,2023100104,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.3,4.00,-,2023100104,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100104,
Mailasandra STP 75 MLD,2023-10-01 03:45:00,7.27,17.50,6.82,7.50,50.11,14.93,19.29,15.92,1.79,2023100104,
60 MLD V.Valley TTP,2023-10-01 03:45:00,6.91,26.00,1.34,3.22,20.05,0.99,3.22,4.85,4.02,2023100104,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100104,
1.5 MLD Lalbagh TTP,2023-10-01 03:45:00,7.12,24.40,0.26,1.30,17.76,1.32,0.95,0.53,0.33,2023100104,
35MLD Agaram STP,2023-10-01 04:00:00,7.09,25.50,1.09,4.47,29.07,4.96,6.0,6.38,-,2023100104,
Chikka_Bagur_5_MLD_STP,2023-09-28 09:50:00,8.2,26.80,-,-,43.60,6.7,8.0,13.40,-,2023100104,
Yelahanka 10MLD TTP,2023-09-30 23:45:00,7.05,25.20,0.96,5.73,51.90,11.0,5.1,10.38,1.39,2023100104,
40MLD OLD Rajacanal STP,2023-09-29 09:15:00,7.47,25.00,0.16,0.53,25.80,10.4,15.3,6.45,0.78,2023100104,
Hennur 1MLD TTP,2023-09-30 20:30:00,7.74,27.20,0.00,0.00,19.00,1.8,4.9,4.95,7.49,2023100104,
4_MLD_Madiwala_STP,2023-10-01 04:00:00,7.64,25.80,1.26,3.65,34.49,2.29,3.51,8.62,-,2023100104,
150MLD STP_K&C valley,2023-09-30 23:40:00,7.69,-,2.68,6.34,-,9.17,11.06,-,-,2023100104,
2MLD Ulsoor STP,2023-10-01 05:15:00,7.17,26.00,0.04,0.18,29.40,2.1,3.7,5.88,0.48,2023100105,
CHIKKABANAVARA 5 MLD,2023-10-01 04:45:00,7.37,24.10,0.43,2.80,27.19,4.43,4.42,11.02,3.44,2023100105,
KADUGODI 6 MLD STP,2023-10-01 04:45:00,7.66,27.50,0.30,3.72,44.27,11.4,10.68,38.73,1.50,2023100105,
HORAMAVU 20 MLD,2023-09-27 19:15:00,7.51,28.40,0.88,3.50,49.64,7.38,16.96,4.32,3.52,2023100105,
K AND C VALLEY 60 MLD,2023-10-01 04:45:00,6.77,26.90,0.50,4.40,38.57,8.4,18.85,8.38,4.15,2023100105,
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100105,
RAJACANAL 40 MLD,2023-10-01 04:45:00,7.62,26.10,1.11,2.50,34.55,4.07,11.32,8.74,5.33,2023100105,
YELLAMALAPACHETTY 15 MLD,2023-10-01 04:45:00,7.13,26.41,0.53,2.11,30.37,2.46,7.36,5.54,1.08,2023100105,
BELLANDUR 90 MLD,2023-10-01 05:00:00,7.9,26.20,0.51,1.00,27.11,4.93,7.33,5.42,2.86,2023100105,
DODDABELE 20 MLD,2023-10-01 04:45:00,8.11,26.60,0.42,1.10,40.05,6.73,10.07,10.00,4.87,2023100105,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100105,
NAGASANDRA OLD 20 MLD,2023-10-01 04:45:00,7.75,25.90,1.53,2.30,441.84,0.0,401.65,0.00,1.13,2023100105,
4MLD Cubbon Park TTP,2023-10-01 05:00:00,7.23,27.80,0.51,4.72,17.31,1.22,0.91,5.02,2.04,2023100105,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100105,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100105,
KADABEESANAHALLI 50 MLD,2023-09-30 08:45:00,6.0,24.20,0.60,2.51,44.37,8.37,8.34,7.15,3.35,2023100105,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.3,4.00,-,2023100105,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100105,
Mailasandra STP 75 MLD,2023-10-01 04:45:00,7.27,17.50,6.36,7.00,50.06,14.89,19.3,15.88,2.45,2023100105,
60 MLD V.Valley TTP,2023-10-01 04:30:00,6.91,26.00,1.36,3.26,20.05,0.99,3.22,4.86,4.05,2023100105,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100105,
1.5 MLD Lalbagh TTP,2023-10-01 04:45:00,7.11,24.40,0.26,1.30,17.76,1.32,0.95,0.48,0.28,2023100105,
35MLD Agaram STP,2023-10-01 05:00:00,7.08,25.40,1.09,4.47,29.03,4.96,6.0,6.37,-,2023100105,
Chikka_Bagur_5_MLD_STP,2023-09-28 09:50:00,8.2,26.80,-,-,43.60,6.7,8.0,13.40,-,2023100105,
Yelahanka 10MLD TTP,2023-09-30 23:45:00,7.05,25.20,0.96,5.73,51.90,11.0,5.1,10.38,1.39,2023100105,
40MLD OLD Rajacanal STP,2023-09-29 09:15:00,7.47,25.00,0.16,0.53,25.80,10.4,15.3,6.45,0.78,2023100105,
Hennur 1MLD TTP,2023-09-30 20:30:00,7.74,27.20,0.00,0.00,19.00,1.8,4.9,4.95,7.49,2023100105,
4_MLD_Madiwala_STP,2023-10-01 05:00:00,7.63,25.70,1.26,3.65,34.49,2.3,3.5,8.62,-,2023100105,
150MLD STP_K&C valley,2023-10-01 05:00:00,7.72,-,2.69,6.36,-,7.81,11.12,-,-,2023100105,
2MLD Ulsoor STP,2023-10-01 06:15:00,7.18,25.90,0.04,0.18,29.30,2.1,3.6,5.86,0.42,2023100106,
CHIKKABANAVARA 5 MLD,2023-10-01 05:45:00,7.4,24.20,0.43,2.80,27.23,4.42,4.43,11.06,3.44,2023100106,
KADUGODI 6 MLD STP,2023-10-01 05:45:00,7.65,27.50,0.30,3.68,44.35,11.39,10.91,38.53,1.50,2023100106,
HORAMAVU 20 MLD,2023-09-27 19:15:00,7.51,28.40,0.88,3.50,49.64,7.38,16.96,4.32,3.52,2023100106,
K AND C VALLEY 60 MLD,2023-10-01 05:45:00,6.78,26.90,0.49,4.40,37.83,8.42,18.0,8.42,4.07,2023100106,
NAGASANDRA 20 MLD,2023-09-28 18:00:00,7.67,27.20,1.01,3.80,43.19,9.12,4.54,6.99,4.09,2023100106,
RAJACANAL 40 MLD,2023-10-01 05:45:00,7.62,26.10,1.10,2.50,34.49,4.08,11.23,8.78,5.28,2023100106,
YELLAMALAPACHETTY 15 MLD,2023-10-01 05:45:00,7.12,26.37,0.53,2.11,30.84,2.48,7.36,5.54,1.09,2023100106,
BELLANDUR 90 MLD,2023-10-01 06:00:00,7.9,26.20,0.51,1.00,27.12,4.95,7.31,5.42,2.86,2023100106,
DODDABELE 20 MLD,2023-10-01 05:45:00,8.09,26.60,0.42,1.10,40.34,6.75,10.61,10.04,4.85,2023100106,
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023100106,
NAGASANDRA OLD 20 MLD,2023-10-01 05:45:00,7.77,25.90,1.41,2.12,459.73,0.0,416.91,0.00,1.12,2023100106,
4MLD Cubbon Park TTP,2023-10-01 06:00:00,7.24,27.80,0.51,4.72,17.31,1.22,0.92,5.02,2.04,2023100106,
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100106,
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.0,0.0,-,-,2023100106,
KADABEESANAHALLI 50 MLD,2023-09-30 08:45:00,6.0,24.20,0.60,2.51,44.37,8.37,8.34,7.15,3.35,2023100106,
STP Sarakki 5 MLD,2023-07-29 00:15:00,7.85,26.10,3.77,7.54,20.00,6.76,8.3,4.00,-,2023100106,
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023100106,
Mailasandra STP 75 MLD,2023-10-01 05:45:00,7.27,17.30,5.90,6.49,50.06,14.86,19.29,15.92,2.89,2023100106,
60 MLD V.Valley TTP,2023-10-01 05:45:00,6.91,25.90,1.34,3.22,20.08,0.96,3.26,4.89,4.02,2023100106,
KR Puram STP 20 MLD,2023-09-24 11:30:00,7.1,26.20,3.19,6.38,147.59,5.94,49.23,20.66,1.65,2023100106,
1.5 MLD Lalbagh TTP,2023-10-01 05:45:00,7.09,24.30,0.26,1.30,17.76,1.32,0.95,0.42,0.27,2023100106,
35MLD Agaram STP,2023-10-01 06:00:00,7.09,25.40,1.09,4.47,29.07,4.96,6.0,6.38,-,2023100106,
Chikka_Bagur_5_MLD_STP,2023-09-28 09:50:00,8.2,26.80,-,-,43.60,6.7,8.0,13.40,-,2023100106,
Yelahanka 10MLD TTP,2023-09-30 23:45:00,7.05,25.20,0.96,5.73,51.90,11.0,5.1,10.38,1.39,2023100106,
40MLD OLD Rajacanal STP,2023-09-29 09:15:00,7.47,25.00,0.16,0.53,25.80,10.4,15.3,6.45,0.78,2023100106,
Hennur 1MLD TTP,2023-09-30 20:30:00,7.74,27.20,0.00,0.00,19.00,1.8,4.9,4.95,7.49,2023100106,
4_MLD_Madiwala_STP,2023-10-01 06:00:00,7.63,25.70,1.26,3.65,34.49,2.29,3.51,8.62,-,2023100106,
