stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,updated_on
2MLD Ulsoor STP,2023-06-30 23:45:00,7.23,27.70,1.47,6.62,28.30,2.00,3.5,5.66,3.14,2023070100
CHIKKABANAVARA 5 MLD,2023-06-30 23:45:00,7.44,25.00,0.36,3.20,26.37,4.03,4.4,9.57,2.88,2023070100
KADUGODI 6 MLD STP,2023-06-30 23:45:00,7.75,21.90,0.60,2.78,40.72,10.41,11.24,26.73,3.98,2023070100
HORAMAVU 20 MLD,2023-06-27 21:30:00,7.53,25.50,0.79,2.20,-,-,36.53,13.21,3.16,2023070100
K AND C VALLEY 60 MLD,2023-06-30 23:45:00,7.21,27.70,0.53,3.90,31.85,6.42,9.25,8.10,4.40,2023070100
NAGASANDRA 20 MLD,2023-07-01 00:00:00,7.69,25.30,0.77,2.70,129.23,4.89,62.71,8.10,3.79,2023070100
RAJACANAL 40 MLD,2023-06-05 01:30:00,7.53,29.20,1.04,2.80,31.34,3.71,7.45,8.23,4.99,2023070100
YELLAMALAPACHETTY 15 MLD,2023-07-01 00:00:00,7.24,27.20,1.01,2.90,50.37,9.17,8.78,5.79,4.04,2023070100
BELLANDUR 90 MLD,2023-06-30 23:45:00,7.16,27.10,0.36,4.20,27.47,8.21,12.09,5.49,3.42,2023070100
DODDABELE 20 MLD,2023-06-30 23:30:00,7.48,23.10,0.56,4.00,38.87,5.53,9.18,10.34,4.49,2023070100
MALLATHALLI 5 MLD,2023-03-19 23:45:00,10.05,-,1.41,3.54,22.85,4.02,5.66,12.86,5.66,2023070100
NAGASANDRA OLD 20 MLD,2023-06-30 23:45:00,7.35,23.90,25.12,37.68,64.76,10.38,19.17,9.88,6.74,2023070100
4MLD Cubbon Park TTP,2023-06-30 23:45:00,7.16,28.60,3.85,4.73,17.37,1.23,0.93,5.04,15.40,2023070100
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.0,-,-,2023070100
Challagatta Valley 218 MLD,2023-06-17 15:27:12,0.0,-,-,-,0.00,0.00,0.0,-,-,2023070100
KADABEESANAHALLI 50 MLD,2023-06-30 23:45:00,7.23,24.80,0.60,3.65,133.50,12.18,47.32,13.85,6.09,2023070100
STP Sarakki 5 MLD,2023-06-30 23:45:00,7.8,28.00,1.69,3.38,19.29,5.69,6.64,3.86,-,2023070100
Kempambudhi STP 1 MLD,2023-06-30 21:30:00,7.17,25.50,0.92,2.86,47.78,6.13,12.03,8.59,2.01,2023070100
Mailasandra STP 75 MLD,2023-06-30 23:15:00,7.36,24.70,1.93,0.10,47.39,11.25,18.78,14.56,0.08,2023070100
