stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,updated_on
2MLD Ulsoor STP,2023-10-31 23:15:00,7.04,26.30,0.48,1.20,61.10,4.82,9.09,5.63,8.04,-,2023110100
CHIKKABANAVARA 5 MLD,2023-10-31 23:45:00,7.65,24.50,0.41,3.40,31.99,4.78,5.47,12.48,3.28,-,2023110100
KADUGODI 6 MLD STP,2023-10-31 23:45:00,7.67,27.40,0.70,3.99,45.25,10.75,21.89,36.52,3.50,-,2023110100
HORAMAVU 20 MLD,2023-10-27 08:00:00,7.45,28.00,0.72,4.50,55.24,4.46,22.45,0.00,2.88,-,2023110100
K AND C VALLEY 60 MLD,2023-10-31 23:45:00,6.77,27.40,0.65,4.20,26.88,8.41,7.27,8.52,5.39,-,2023110100
NAGASANDRA 20 MLD,2023-10-31 23:45:00,7.77,26.50,0.93,3.72,45.74,14.35,7.19,9.74,3.97,-,2023110100
RAJACANAL 40 MLD,2023-10-31 23:45:00,7.59,27.20,0.91,4.00,31.26,3.62,8.8,8.01,4.37,-,2023110100
YELLAMALAPACHETTY 15 MLD,2023-10-31 23:45:00,7.45,27.58,0.55,2.21,53.31,1.33,7.71,5.43,1.56,-,2023110100
BELLANDUR 90 MLD,2023-11-01 00:00:00,7.82,27.20,0.54,1.70,27.04,4.66,7.08,5.41,3.02,-,2023110100
DODDABELE 20 MLD,2023-10-31 23:45:00,7.26,27.00,0.70,3.50,36.82,6.36,5.24,10.48,4.36,-,2023110100
NAGASANDRA OLD 20 MLD,2023-10-31 23:45:00,7.95,21.00,1.12,1.68,314.25,2.57,263.62,0.00,4.23,-,2023110100
4MLD Cubbon Park TTP,2023-11-01 00:00:00,7.14,28.60,0.48,4.73,17.30,1.23,0.9,5.02,1.92,-,2023110100
KADABEESANAHALLI 50 MLD,2023-11-01 00:00:00,-,-,0.86,3.88,46.80,8.62,8.3,7.97,3.45,-,2023110100
STP Sarakki 5 MLD,2023-10-31 23:30:00,7.91,27.70,3.23,6.46,19.01,5.19,5.88,3.80,-,-,2023110100
Mailasandra STP 75 MLD,2023-11-01 00:00:00,7.52,22.90,7.26,13.07,45.40,8.08,18.96,13.68,-0.11,-,2023110100
60 MLD V.Valley TTP,2023-10-26 00:00:00,6.73,26.10,2.17,5.21,20.29,1.41,3.27,5.00,8.04,-,2023110100
KR Puram STP 20 MLD,2023-10-31 15:30:00,6.99,26.00,1.95,3.90,95.17,6.67,29.31,13.32,1.98,-,2023110100
1.5 MLD Lalbagh TTP,2023-11-01 00:00:00,7.44,23.80,1.14,5.38,18.43,1.58,1.43,-1.39,-0.61,-,2023110100
35MLD Agaram STP,2023-11-01 00:00:00,7.10,26.00,1.47,6.03,29.11,4.97,8.09,6.39,-,-,2023110100
Chikka_Bagur_5_MLD_STP,2023-10-27 13:27:00,7.65,27.80,-,-,41.80,5.9,6.8,11.80,-,-,2023110100
Yelahanka 10MLD TTP,2023-11-01 00:00:00,7.15,25.40,1.84,11.13,45.40,10.3,6.8,9.12,3.33,0.21,2023110100
40MLD OLD Rajacanal STP,2023-11-01 00:00:00,7.71,25.00,1.57,5.18,25.60,6.5,7.4,6.40,5.50,0.79,2023110100
Hennur 1MLD TTP,2023-10-31 20:45:00,7.39,27.80,1.60,2.40,20.00,2.2,5.0,5.00,4.00,0.32,2023110100
4_MLD_Madiwala_STP,2023-10-30 09:45:00,7.72,24.70,0.51,1.48,34.70,2.21,3.85,8.68,-,-,2023110100
150MLD STP_K&C valley,2023-10-31 23:55:00,7.80,-,2.13,5.28,-,246.19,30.88,-,-,0.68,2023110100
2MLD Ulsoor STP,2023-11-01 00:45:00,7.02,26.20,0.52,1.30,50.84,4.01,7.56,5.62,6.69,-,2023110101
CHIKKABANAVARA 5 MLD,2023-11-01 00:45:00,7.66,24.50,0.40,3.40,32.16,4.71,5.51,11.34,3.20,-,2023110101
KADUGODI 6 MLD STP,2023-11-01 00:45:00,7.66,27.50,0.70,4.20,46.41,10.66,26.74,32.96,3.50,-,2023110101
HORAMAVU 20 MLD,2023-10-27 08:00:00,7.45,28.00,0.72,4.50,55.24,4.46,22.45,0.00,2.88,-,2023110101
K AND C VALLEY 60 MLD,2023-11-01 00:45:00,6.81,27.50,0.65,4.20,26.65,8.27,6.92,8.17,5.39,-,2023110101
NAGASANDRA 20 MLD,2023-11-01 00:45:00,7.74,26.50,0.92,3.68,43.58,12.92,7.08,8.55,3.97,-,2023110101
RAJACANAL 40 MLD,2023-11-01 00:45:00,7.58,27.10,0.91,4.00,31.32,3.63,8.94,8.04,4.37,-,2023110101
YELLAMALAPACHETTY 15 MLD,2023-11-01 00:45:00,7.43,27.50,0.55,2.20,54.14,1.37,7.7,5.47,1.27,-,2023110101
BELLANDUR 90 MLD,2023-11-01 01:00:00,7.82,27.20,0.54,1.70,27.05,4.68,7.2,5.41,3.02,-,2023110101
DODDABELE 20 MLD,2023-11-01 00:45:00,7.26,27.00,0.70,3.50,36.88,6.36,5.34,10.49,4.36,-,2023110101
NAGASANDRA OLD 20 MLD,2023-11-01 00:45:00,8.02,20.00,0.96,1.44,314.38,1.49,261.27,0.00,4.29,-,2023110101
4MLD Cubbon Park TTP,2023-11-01 01:00:00,7.15,28.60,0.48,4.73,17.29,1.23,0.9,5.01,1.92,-,2023110101
KADABEESANAHALLI 50 MLD,2023-11-01 01:00:00,-,-,0.86,3.88,46.78,8.62,8.3,7.90,3.45,-,2023110101
STP Sarakki 5 MLD,2023-11-01 00:45:00,7.90,27.70,3.22,6.44,19.02,5.21,5.95,3.80,-,-,2023110101
Mailasandra STP 75 MLD,2023-11-01 01:00:00,7.51,22.80,7.26,13.07,45.38,8.07,18.97,13.71,-0.46,-,2023110101
60 MLD V.Valley TTP,2023-10-26 00:00:00,6.73,26.10,2.17,5.21,20.29,1.41,3.27,5.00,8.04,-,2023110101
KR Puram STP 20 MLD,2023-10-31 15:30:00,6.99,26.00,1.95,3.90,95.17,6.67,29.31,13.32,1.98,-,2023110101
1.5 MLD Lalbagh TTP,2023-11-01 01:00:00,7.44,23.40,1.26,6.08,18.43,1.58,1.43,-1.64,-0.92,-,2023110101
35MLD Agaram STP,2023-11-01 01:00:00,7.10,25.90,1.64,6.72,29.11,4.97,9.02,6.39,-,-,2023110101
Chikka_Bagur_5_MLD_STP,2023-10-27 13:27:00,7.65,27.80,-,-,41.80,5.9,6.8,11.80,-,-,2023110101
Yelahanka 10MLD TTP,2023-11-01 01:00:00,7.14,25.40,1.81,10.89,45.30,10.5,6.9,9.08,3.32,0.21,2023110101
40MLD OLD Rajacanal STP,2023-11-01 01:00:00,7.72,25.00,1.57,5.18,25.50,6.5,7.4,6.38,5.50,0.79,2023110101
Hennur 1MLD TTP,2023-10-31 20:45:00,7.39,27.80,1.60,2.40,20.00,2.2,5.0,5.00,4.00,0.32,2023110101
4_MLD_Madiwala_STP,2023-10-30 09:45:00,7.72,24.70,0.51,1.48,34.70,2.21,3.85,8.68,-,-,2023110101
150MLD STP_K&C valley,2023-11-01 00:55:00,7.86,-,2.14,5.27,-,226.19,31.0,-,-,0.69,2023110101
2MLD Ulsoor STP,2023-11-01 01:30:00,7.02,26.10,0.54,1.35,47.27,3.73,7.03,5.62,6.22,-,2023110102
CHIKKABANAVARA 5 MLD,2023-11-01 01:45:00,7.65,24.50,0.41,3.40,31.69,4.73,5.39,11.54,3.28,-,2023110102
KADUGODI 6 MLD STP,2023-11-01 01:45:00,7.70,27.50,0.70,4.22,46.34,10.68,26.15,33.93,3.50,-,2023110102
HORAMAVU 20 MLD,2023-10-27 08:00:00,7.45,28.00,0.72,4.50,55.24,4.46,22.45,0.00,2.88,-,2023110102
K AND C VALLEY 60 MLD,2023-11-01 01:45:00,6.78,27.50,0.65,4.10,26.41,8.33,6.67,8.56,5.39,-,2023110102
NAGASANDRA 20 MLD,2023-11-01 01:45:00,7.75,26.50,0.92,3.68,43.21,14.1,6.21,9.40,3.97,-,2023110102
RAJACANAL 40 MLD,2023-11-01 01:45:00,7.60,27.20,0.91,4.00,31.28,3.64,8.91,8.07,4.37,-,2023110102
YELLAMALAPACHETTY 15 MLD,2023-11-01 01:45:00,7.40,27.40,0.55,2.19,62.01,1.31,7.98,5.44,1.59,-,2023110102
BELLANDUR 90 MLD,2023-11-01 01:45:00,7.82,27.10,0.54,1.70,27.03,4.7,7.07,5.41,3.02,-,2023110102
DODDABELE 20 MLD,2023-11-01 01:45:00,7.25,26.90,0.70,3.50,36.83,6.37,5.25,10.52,4.35,-,2023110102
NAGASANDRA OLD 20 MLD,2023-11-01 01:45:00,8.01,19.40,1.11,1.66,308.64,1.83,249.87,0.00,4.29,-,2023110102
4MLD Cubbon Park TTP,2023-11-01 02:00:00,7.16,28.60,0.48,4.73,17.30,1.23,0.9,5.02,1.92,-,2023110102
KADABEESANAHALLI 50 MLD,2023-11-01 02:00:00,-,-,0.82,3.67,47.21,8.15,10.56,5.76,3.26,-,2023110102
STP Sarakki 5 MLD,2023-11-01 01:45:00,7.90,27.70,3.22,6.44,19.04,5.24,6.0,3.81,-,-,2023110102
Mailasandra STP 75 MLD,2023-11-01 01:45:00,7.50,22.70,7.26,13.06,45.36,8.06,18.98,13.67,-0.46,-,2023110102
60 MLD V.Valley TTP,2023-10-26 00:00:00,6.73,26.10,2.17,5.21,20.29,1.41,3.27,5.00,8.04,-,2023110102
KR Puram STP 20 MLD,2023-10-31 15:30:00,6.99,26.00,1.95,3.90,95.17,6.67,29.31,13.32,1.98,-,2023110102
1.5 MLD Lalbagh TTP,2023-11-01 02:00:00,7.44,23.10,1.32,6.55,18.43,1.58,1.43,-1.84,-1.22,-,2023110102
35MLD Agaram STP,2023-11-01 02:00:00,7.09,25.90,1.58,6.48,29.07,4.96,8.69,6.38,-,-,2023110102
Chikka_Bagur_5_MLD_STP,2023-10-27 13:27:00,7.65,27.80,-,-,41.80,5.9,6.8,11.80,-,-,2023110102
Yelahanka 10MLD TTP,2023-11-01 02:00:00,7.14,25.40,1.79,10.74,45.20,10.6,7.0,9.02,3.22,0.21,2023110102
40MLD OLD Rajacanal STP,2023-11-01 02:00:00,7.71,24.90,1.57,5.18,25.50,6.5,7.4,6.38,5.50,0.79,2023110102
Hennur 1MLD TTP,2023-10-31 20:45:00,7.39,27.80,1.60,2.40,20.00,2.2,5.0,5.00,4.00,0.32,2023110102
4_MLD_Madiwala_STP,2023-10-30 09:45:00,7.72,24.70,0.51,1.48,34.70,2.21,3.85,8.68,-,-,2023110102
150MLD STP_K&C valley,2023-11-01 01:40:00,7.84,-,2.13,5.26,-,228.19,30.88,-,-,0.69,2023110102
2MLD Ulsoor STP,2023-11-01 02:15:00,7.03,26.00,0.55,1.38,47.58,3.76,7.07,5.62,6.26,-,2023110103
CHIKKABANAVARA 5 MLD,2023-11-01 02:45:00,7.62,24.50,0.40,3.40,31.67,4.75,5.39,11.58,3.20,-,2023110103
KADUGODI 6 MLD STP,2023-11-01 02:45:00,7.65,27.50,0.70,4.04,45.87,10.76,23.84,35.08,3.50,-,2023110103
HORAMAVU 20 MLD,2023-10-27 08:00:00,7.45,28.00,0.72,4.50,55.24,4.46,22.45,0.00,2.88,-,2023110103
K AND C VALLEY 60 MLD,2023-11-01 02:45:00,6.77,27.40,0.64,4.10,26.26,8.31,6.47,8.60,5.31,-,2023110103
NAGASANDRA 20 MLD,2023-11-01 02:45:00,7.75,26.40,0.89,3.56,46.52,14.85,6.61,10.21,3.97,-,2023110103
RAJACANAL 40 MLD,2023-11-01 02:45:00,7.60,27.20,0.91,4.00,31.19,3.64,8.7,8.12,4.37,-,2023110103
YELLAMALAPACHETTY 15 MLD,2023-11-01 02:45:00,7.44,27.55,0.55,2.20,63.54,1.3,8.04,5.44,6.58,-,2023110103
BELLANDUR 90 MLD,2023-11-01 02:45:00,7.82,27.10,0.54,1.70,27.03,4.71,7.04,5.41,3.02,-,2023110103
DODDABELE 20 MLD,2023-11-01 02:45:00,7.25,26.90,0.69,3.50,36.85,6.36,5.3,10.50,-,-,2023110103
NAGASANDRA OLD 20 MLD,2023-11-01 02:45:00,7.89,19.10,1.77,2.65,341.66,1.45,282.71,0.00,4.31,-,2023110103
4MLD Cubbon Park TTP,2023-11-01 03:00:00,7.17,28.50,0.48,4.73,17.29,1.23,0.9,5.01,1.92,-,2023110103
KADABEESANAHALLI 50 MLD,2023-11-01 03:00:00,-,-,0.82,3.68,47.02,8.17,10.38,5.94,3.27,-,2023110103
STP Sarakki 5 MLD,2023-11-01 02:45:00,7.90,27.70,3.22,6.44,19.05,5.26,6.04,3.81,-,-,2023110103
Mailasandra STP 75 MLD,2023-11-01 03:00:00,7.50,22.60,7.26,13.06,45.34,8.05,18.97,13.55,-0.46,-,2023110103
60 MLD V.Valley TTP,2023-10-26 00:00:00,6.73,26.10,2.17,5.21,20.29,1.41,3.27,5.00,8.04,-,2023110103
KR Puram STP 20 MLD,2023-10-31 15:30:00,6.99,26.00,1.95,3.90,95.17,6.67,29.31,13.32,1.98,-,2023110103
1.5 MLD Lalbagh TTP,2023-11-01 03:00:00,7.45,22.70,1.41,6.85,18.43,1.58,1.42,-1.78,-1.14,-,2023110103
35MLD Agaram STP,2023-11-01 03:00:00,7.10,25.80,1.61,6.60,29.11,4.97,8.86,6.39,-,-,2023110103
Chikka_Bagur_5_MLD_STP,2023-10-27 13:27:00,7.65,27.80,-,-,41.80,5.9,6.8,11.80,-,-,2023110103
Yelahanka 10MLD TTP,2023-11-01 03:00:00,7.14,25.30,1.80,10.80,44.50,10.7,6.9,8.97,3.17,0.21,2023110103
40MLD OLD Rajacanal STP,2023-11-01 03:00:00,7.71,24.90,1.59,5.25,25.50,6.5,7.4,6.38,5.57,0.80,2023110103
Hennur 1MLD TTP,2023-10-31 20:45:00,7.39,27.80,1.60,2.40,20.00,2.2,5.0,5.00,4.00,0.32,2023110103
4_MLD_Madiwala_STP,2023-10-30 09:45:00,7.72,24.70,0.51,1.48,34.70,2.21,3.85,8.68,-,-,2023110103
150MLD STP_K&C valley,2023-11-01 02:55:00,7.82,-,2.13,5.28,-,216.19,30.88,-,-,0.70,2023110103
2MLD Ulsoor STP,2023-11-01 03:45:00,7.03,25.80,0.56,1.40,44.84,3.54,6.67,5.62,5.90,-,2023110104
CHIKKABANAVARA 5 MLD,2023-11-01 03:45:00,7.64,24.40,0.40,3.40,31.53,4.75,5.35,11.53,3.20,-,2023110104
KADUGODI 6 MLD STP,2023-11-01 03:45:00,7.64,27.60,0.80,4.03,46.39,10.76,25.88,35.90,4.00,-,2023110104
HORAMAVU 20 MLD,2023-10-27 08:00:00,7.45,28.00,0.72,4.50,55.24,4.46,22.45,0.00,2.88,-,2023110104
K AND C VALLEY 60 MLD,2023-11-01 03:45:00,6.77,27.40,0.64,4.00,26.27,8.3,6.52,8.48,5.31,-,2023110104
NAGASANDRA 20 MLD,2023-11-01 03:45:00,7.76,26.10,0.88,3.52,47.98,15.18,6.81,10.12,3.94,-,2023110104
RAJACANAL 40 MLD,2023-11-01 03:45:00,7.60,27.10,0.91,4.00,31.17,3.65,8.62,8.11,4.37,-,2023110104
YELLAMALAPACHETTY 15 MLD,2023-11-01 03:45:00,7.38,27.35,0.55,2.19,61.24,1.3,7.98,5.43,1.41,-,2023110104
BELLANDUR 90 MLD,2023-11-01 03:45:00,7.82,27.10,0.54,1.70,27.03,4.71,6.99,5.41,3.02,-,2023110104
DODDABELE 20 MLD,2023-11-01 03:45:00,7.28,26.80,0.69,3.50,36.89,6.34,5.33,10.46,4.37,-,2023110104
NAGASANDRA OLD 20 MLD,2023-11-01 03:45:00,7.86,19.30,1.73,2.60,337.21,1.12,283.4,0.00,4.29,-,2023110104
4MLD Cubbon Park TTP,2023-11-01 04:00:00,7.19,28.50,0.48,4.73,17.29,1.23,0.9,5.02,1.92,-,2023110104
KADABEESANAHALLI 50 MLD,2023-11-01 04:00:00,-,-,0.82,3.68,46.38,8.19,10.1,6.00,3.27,-,2023110104
STP Sarakki 5 MLD,2023-11-01 03:45:00,7.89,27.60,3.22,6.44,19.06,5.27,6.08,3.81,-,-,2023110104
Mailasandra STP 75 MLD,2023-11-01 04:00:00,7.50,22.50,7.26,13.06,45.35,8.05,18.98,13.55,-0.46,-,2023110104
60 MLD V.Valley TTP,2023-10-26 00:00:00,6.73,26.10,2.17,5.21,20.29,1.41,3.27,5.00,8.04,-,2023110104
KR Puram STP 20 MLD,2023-10-31 15:30:00,6.99,26.00,1.95,3.90,95.17,6.67,29.31,13.32,1.98,-,2023110104
1.5 MLD Lalbagh TTP,2023-11-01 04:00:00,7.45,22.40,1.39,7.02,18.42,1.58,1.42,-1.77,-1.10,-,2023110104
35MLD Agaram STP,2023-11-01 04:00:00,7.10,25.70,1.49,6.11,29.11,4.97,8.19,6.39,-,-,2023110104
Chikka_Bagur_5_MLD_STP,2023-10-27 13:27:00,7.65,27.80,-,-,41.80,5.9,6.8,11.80,-,-,2023110104
Yelahanka 10MLD TTP,2023-11-01 04:00:00,7.14,25.30,1.82,10.86,44.60,10.7,6.9,8.92,3.14,0.21,2023110104
40MLD OLD Rajacanal STP,2023-11-01 04:00:00,7.72,24.90,1.59,5.25,25.60,6.5,7.4,6.40,5.57,0.80,2023110104
Hennur 1MLD TTP,2023-10-31 20:45:00,7.39,27.80,1.60,2.40,20.00,2.2,5.0,5.00,4.00,0.32,2023110104
4_MLD_Madiwala_STP,2023-10-30 09:45:00,7.72,24.70,0.51,1.48,34.70,2.21,3.85,8.68,-,-,2023110104
150MLD STP_K&C valley,2023-11-01 04:00:00,7.85,-,2.13,5.27,-,239.19,30.88,-,-,0.69,2023110104
2MLD Ulsoor STP,2023-11-01 04:30:00,7.04,25.80,0.55,1.38,39.06,3.08,5.81,5.63,5.14,-,2023110105
CHIKKABANAVARA 5 MLD,2023-11-01 04:45:00,7.65,24.50,0.41,3.40,31.95,4.76,5.45,11.43,3.28,-,2023110105
KADUGODI 6 MLD STP,2023-11-01 04:45:00,7.65,27.50,0.70,4.05,47.21,10.72,28.51,33.32,3.50,-,2023110105
HORAMAVU 20 MLD,2023-10-27 08:00:00,7.45,28.00,0.72,4.50,55.24,4.46,22.45,0.00,2.88,-,2023110105
K AND C VALLEY 60 MLD,2023-11-01 04:45:00,6.76,27.40,0.63,4.00,26.44,8.29,6.78,8.58,5.23,-,2023110105
NAGASANDRA 20 MLD,2023-11-01 04:45:00,7.77,25.90,0.87,3.48,49.15,15.14,7.02,9.80,3.90,-,2023110105
RAJACANAL 40 MLD,2023-11-01 04:45:00,7.61,27.10,0.91,4.00,31.24,3.66,8.75,8.08,4.37,-,2023110105
YELLAMALAPACHETTY 15 MLD,2023-11-01 04:45:00,7.40,27.41,0.55,2.19,53.64,1.32,7.79,5.44,1.40,-,2023110105
BELLANDUR 90 MLD,2023-11-01 04:45:00,7.82,27.10,0.54,1.70,27.03,4.68,7.03,5.41,3.02,-,2023110105
DODDABELE 20 MLD,2023-11-01 04:45:00,7.29,26.70,0.69,3.50,36.92,6.33,5.45,10.44,4.37,-,2023110105
NAGASANDRA OLD 20 MLD,2023-11-01 04:45:00,7.86,19.60,1.73,2.60,371.39,0.0,314.36,0.00,4.29,-,2023110105
4MLD Cubbon Park TTP,2023-11-01 05:00:00,7.21,28.50,0.48,4.72,17.29,1.22,0.9,5.01,1.92,-,2023110105
KADABEESANAHALLI 50 MLD,2023-11-01 05:00:00,-,-,0.82,3.68,47.15,8.18,10.42,5.93,3.27,-,2023110105
STP Sarakki 5 MLD,2023-11-01 04:45:00,7.89,27.60,3.22,6.44,19.07,5.28,6.1,3.81,-,-,2023110105
Mailasandra STP 75 MLD,2023-11-01 05:00:00,7.50,22.40,7.26,13.06,45.35,8.05,18.96,13.44,-0.47,-,2023110105
60 MLD V.Valley TTP,2023-10-26 00:00:00,6.73,26.10,2.17,5.21,20.29,1.41,3.27,5.00,8.04,-,2023110105
KR Puram STP 20 MLD,2023-10-31 15:30:00,6.99,26.00,1.95,3.90,95.17,6.67,29.31,13.32,1.98,-,2023110105
1.5 MLD Lalbagh TTP,2023-11-01 05:00:00,7.47,22.20,1.36,6.75,18.42,1.58,1.42,-1.39,-1.21,-,2023110105
35MLD Agaram STP,2023-11-01 05:00:00,7.10,25.70,1.65,6.76,29.11,4.97,9.07,6.39,-,-,2023110105
Chikka_Bagur_5_MLD_STP,2023-10-27 13:27:00,7.65,27.80,-,-,41.80,5.9,6.8,11.80,-,-,2023110105
Yelahanka 10MLD TTP,2023-11-01 05:00:00,7.14,25.30,1.83,10.95,44.70,10.6,6.8,8.92,3.13,0.21,2023110105
40MLD OLD Rajacanal STP,2023-11-01 05:00:00,7.71,24.80,1.59,5.25,25.60,6.5,7.4,6.40,5.57,0.80,2023110105
Hennur 1MLD TTP,2023-10-31 20:45:00,7.39,27.80,1.60,2.40,20.00,2.2,5.0,5.00,4.00,0.32,2023110105
4_MLD_Madiwala_STP,2023-10-30 09:45:00,7.72,24.70,0.51,1.48,34.70,2.21,3.85,8.68,-,-,2023110105
150MLD STP_K&C valley,2023-11-01 04:55:00,7.85,-,2.13,5.28,-,250.19,30.88,-,-,0.69,2023110105
2MLD Ulsoor STP,2023-11-01 05:15:00,7.04,25.70,0.55,1.38,43.32,3.42,6.44,5.63,5.70,-,2023110106
CHIKKABANAVARA 5 MLD,2023-11-01 04:45:00,7.65,24.50,0.41,3.40,31.95,4.76,5.45,11.43,3.28,-,2023110106
KADUGODI 6 MLD STP,2023-11-01 05:45:00,7.63,27.50,0.80,4.08,47.23,10.77,28.5,35.12,4.00,-,2023110106
HORAMAVU 20 MLD,2023-10-27 08:00:00,7.45,28.00,0.72,4.50,55.24,4.46,22.45,0.00,2.88,-,2023110106
K AND C VALLEY 60 MLD,2023-11-01 05:45:00,6.76,27.40,0.62,4.00,26.76,8.32,7.46,8.70,5.15,-,2023110106
NAGASANDRA 20 MLD,2023-11-01 05:45:00,7.76,25.70,0.83,3.32,48.92,14.73,7.08,9.38,3.87,-,2023110106
RAJACANAL 40 MLD,2023-11-01 05:45:00,7.60,27.10,0.90,4.00,31.19,3.67,8.64,8.08,4.32,-,2023110106
YELLAMALAPACHETTY 15 MLD,2023-11-01 05:45:00,7.35,27.22,0.54,2.18,56.17,1.38,7.74,5.46,1.75,-,2023110106
BELLANDUR 90 MLD,2023-11-01 05:45:00,7.82,27.10,0.54,1.70,27.01,4.73,6.79,5.40,3.02,-,2023110106
DODDABELE 20 MLD,2023-11-01 05:45:00,7.29,26.70,0.69,3.50,36.86,6.33,5.33,10.50,4.37,-,2023110106
NAGASANDRA OLD 20 MLD,2023-11-01 05:45:00,7.66,19.30,2.57,3.86,384.02,0.01,327.89,0.00,4.30,-,2023110106
4MLD Cubbon Park TTP,2023-11-01 05:45:00,7.20,28.50,0.49,4.72,17.28,1.22,0.89,5.01,1.96,-,2023110106
KADABEESANAHALLI 50 MLD,2023-11-01 05:45:00,-,-,0.82,3.68,46.74,8.18,10.26,5.95,3.27,-,2023110106
STP Sarakki 5 MLD,2023-11-01 05:45:00,7.88,27.60,3.23,6.46,19.07,5.29,6.12,3.81,-,-,2023110106
Mailasandra STP 75 MLD,2023-11-01 05:45:00,7.50,22.40,7.26,13.06,45.35,8.05,18.99,13.79,-0.47,-,2023110106
60 MLD V.Valley TTP,2023-10-26 00:00:00,6.73,26.10,2.17,5.21,20.29,1.41,3.27,5.00,8.04,-,2023110106
KR Puram STP 20 MLD,2023-10-31 15:30:00,6.99,26.00,1.95,3.90,95.17,6.67,29.31,13.32,1.98,-,2023110106
1.5 MLD Lalbagh TTP,2023-11-01 06:00:00,7.46,22.10,1.30,6.60,18.42,1.58,1.42,-1.36,-1.19,-,2023110106
35MLD Agaram STP,2023-11-01 06:00:00,7.13,25.80,1.50,6.15,29.23,4.99,8.25,6.42,-,-,2023110106
Chikka_Bagur_5_MLD_STP,2023-10-27 13:27:00,7.65,27.80,-,-,41.80,5.9,6.8,11.80,-,-,2023110106
Yelahanka 10MLD TTP,2023-11-01 06:00:00,7.14,25.30,1.84,11.04,44.60,10.6,6.8,8.92,3.13,0.21,2023110106
40MLD OLD Rajacanal STP,2023-11-01 06:00:00,7.72,24.80,1.57,5.18,25.60,6.5,7.4,6.40,5.50,0.79,2023110106
Hennur 1MLD TTP,2023-10-31 20:45:00,7.39,27.80,1.60,2.40,20.00,2.2,5.0,5.00,4.00,0.32,2023110106
4_MLD_Madiwala_STP,2023-10-30 09:45:00,7.72,24.70,0.51,1.48,34.70,2.21,3.85,8.68,-,-,2023110106
150MLD STP_K&C valley,2023-11-01 05:05:00,7.87,-,2.13,5.28,-,282.38,31.0,-,-,0.70,2023110106
2MLD Ulsoor STP,2023-11-01 06:45:00,7.06,27.10,0.55,1.38,108.07,8.53,16.07,5.65,14.22,-,2023110107
CHIKKABANAVARA 5 MLD,2023-11-01 04:45:00,7.65,24.50,0.41,3.40,31.95,4.76,5.45,11.43,3.28,-,2023110107
KADUGODI 6 MLD STP,2023-11-01 06:45:00,7.63,27.50,0.80,4.06,47.43,10.81,28.26,36.33,4.00,-,2023110107
HORAMAVU 20 MLD,2023-10-27 08:00:00,7.45,28.00,0.72,4.50,55.24,4.46,22.45,0.00,2.88,-,2023110107
K AND C VALLEY 60 MLD,2023-11-01 06:45:00,6.75,27.50,0.61,4.00,26.23,8.31,6.46,8.69,5.06,-,2023110107
NAGASANDRA 20 MLD,2023-11-01 06:45:00,7.74,25.70,0.96,3.84,49.95,15.38,7.1,10.07,3.84,-,2023110107
RAJACANAL 40 MLD,2023-11-01 06:45:00,7.58,27.00,0.89,4.00,31.10,3.66,8.48,8.06,4.27,-,2023110107
YELLAMALAPACHETTY 15 MLD,2023-11-01 06:45:00,7.36,27.26,0.55,2.18,69.52,1.46,7.98,5.53,1.37,-,2023110107
BELLANDUR 90 MLD,2023-11-01 06:15:00,7.82,27.00,0.54,1.70,27.01,4.7,6.77,5.40,3.02,-,2023110107
DODDABELE 20 MLD,2023-11-01 06:45:00,7.27,26.60,0.69,3.50,36.91,6.33,5.44,10.49,4.36,-,2023110107
NAGASANDRA OLD 20 MLD,2023-11-01 06:30:00,7.30,24.40,2.89,4.34,419.47,0.0,358.66,0.00,0.49,-,2023110107
4MLD Cubbon Park TTP,2023-11-01 07:00:00,7.21,28.50,0.49,4.73,17.30,1.23,0.91,5.02,1.96,-,2023110107
KADABEESANAHALLI 50 MLD,2023-11-01 07:00:00,-,-,0.82,3.68,46.99,8.18,10.38,5.87,3.27,-,2023110107
STP Sarakki 5 MLD,2023-11-01 06:45:00,7.88,27.60,3.19,6.38,19.06,5.27,6.07,3.81,-,-,2023110107
Mailasandra STP 75 MLD,2023-11-01 07:00:00,7.50,22.20,7.28,13.10,45.48,8.19,18.96,13.61,-0.47,-,2023110107
60 MLD V.Valley TTP,2023-10-26 00:00:00,6.73,26.10,2.17,5.21,20.29,1.41,3.27,5.00,8.04,-,2023110107
KR Puram STP 20 MLD,2023-10-31 15:30:00,6.99,26.00,1.95,3.90,95.17,6.67,29.31,13.32,1.98,-,2023110107
1.5 MLD Lalbagh TTP,2023-11-01 07:00:00,7.46,22.10,1.26,6.42,18.43,1.58,1.43,-1.93,-0.30,-,2023110107
35MLD Agaram STP,2023-11-01 06:45:00,7.14,26.10,1.36,5.58,29.27,5.0,7.48,6.43,-,-,2023110107
Chikka_Bagur_5_MLD_STP,2023-10-27 13:27:00,7.65,27.80,-,-,41.80,5.9,6.8,11.80,-,-,2023110107
Yelahanka 10MLD TTP,2023-11-01 07:00:00,7.14,25.30,1.86,11.10,44.50,10.6,6.8,8.94,3.13,0.21,2023110107
40MLD OLD Rajacanal STP,2023-11-01 07:00:00,7.61,24.80,1.50,4.95,25.60,6.5,7.4,6.40,5.25,0.75,2023110107
