stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,updated_on
2MLD Ulsoor STP,2022-12-31 23:45:00,7.17,24.90,0.87,3.91,26.60,2.00,3.1,5.32,5.04,2023010100
CHIKKABANAVARA 5 MLD,2022-12-31 23:45:00,7.18,24.80,0.88,2.90,41.35,7.46,13.39,13.28,3.53,2023010100
KADUGODI 6 MLD STP,2023-01-01 00:00:00,7.61,23.50,1.20,3.28,40.69,4.58,19.8,6.38,4.80,2023010100
HORAMAVU 20 MLD,2022-12-31 10:45:00,7.54,25.50,0.58,3.10,32.42,6.01,30.25,12.79,2.90,2023010100
K AND C VALLEY 60 MLD,2022-12-31 23:45:00,7.35,25.20,1.80,4.00,27.55,2.81,8.7,7.73,4.50,2023010100
NAGASANDRA 20 MLD,2022-12-31 23:30:00,7.05,25.90,0.91,3.80,39.75,4.40,7.23,11.50,3.88,2023010100
RAJACANAL 40 MLD,2022-12-31 23:45:00,7.13,25.10,0.93,3.50,28.88,3.77,4.23,8.29,4.63,2023010100
YELLAMALAPACHETTY 15 MLD,2022-12-31 23:45:00,6.84,23.80,0.38,0.80,34.90,5.91,6.91,6.05,-,2023010100
BELLANDUR 90 MLD,2023-01-01 00:00:00,8.22,24.80,0.52,0.60,26.19,4.70,5.67,8.15,-,2023010100
DODDABELE 20 MLD,2022-12-09 11:45:00,7.29,24.40,0.17,2.40,40.24,7.73,10.41,12.16,4.37,2023010100
MALLATHALLI 5 MLD,2023-01-01 00:00:00,7.97,26.60,2.45,4.66,22.46,4.22,4.69,12.90,4.90,2023010100
NAGASANDRA OLD 20 MLD,2022-12-31 23:45:00,6.88,23.90,0.04,0.06,49.71,7.18,14.56,10.75,7.48,2023010100
4MLD Cubbon Park TTP,2022-12-31 23:45:00,7.1,26.20,0.66,4.68,17.33,1.18,0.93,5.02,2.64,2023010100
Challagatta Valley 30 MLD,2022-05-20 13:24:51,0.0,-,-,-,0.00,0.00,0.0,-,-,2023010100
Challagatta Valley 218 MLD,2022-07-21 19:26:37,0.0,-,-,-,0.00,0.00,0.0,-,-,2023010100
KADABEESANAHALLI 50 MLD,2022-12-31 23:45:00,7.99,21.40,1.09,4.04,54.90,10.06,18.23,8.83,5.59,2023010100
STP Sarakki 5 MLD,2023-01-01 00:00:00,4.39,25.70,-,-,19.31,5.73,7.7,3.86,-,2023010100
